query,kind,top1_r,r_rank15,background_r_sd,top1_over_sd,prox_frac_top15,profile_sd,min_effect,n_dep_lines,frac_dep_lines,n_lines
SMPDL3A,null,0.20987525528461679,0.1722378808703741,0.05336971164432695,3.9324787190774697,0.0,0.10346407620440716,-0.5095744729042053,1,0.0008278145695364238,1208
EXOC4,null,0.24091084278301605,0.20425197482775573,0.04728183203815491,5.095209563550938,0.06666666666666667,0.20333560528578992,-1.2967747449874878,380,0.31456953642384106,1208
PLA2R1,null,0.20440367165113557,0.1572456376741326,0.04768170796027858,4.286836197675947,0.06666666666666667,0.11682173377620349,-0.657758891582489,2,0.0016556291390728477,1208
SSH3,null,0.23350761995568423,0.18641752900771055,0.05914852366400436,3.9478182292787887,0.13333333333333333,0.13136255837048427,-0.6390973329544067,2,0.0016556291390728477,1208
PTBP3,null,0.2063825721371249,0.18083648721848,0.056198213311012456,3.6724045121321094,0.0,0.11441451251155003,-0.6374068260192871,1,0.0008278145695364238,1208
PSMB10,null,0.28066496545388453,0.23475218892547792,0.07242942174956933,3.8750132014626137,0.0,0.1363485801860149,-0.6073532104492188,6,0.004966887417218543,1208
PPP2R5A,null,0.30236620728304964,0.2202655855758182,0.06617150320408677,4.569432348400625,0.0,0.1130521877305423,-0.3162233531475067,0,0.0,1208
VAV2,null,0.2600854068258627,0.200915970909886,0.06564323226752049,3.96210542719649,0.06666666666666667,0.13923395232649333,-0.5927121043205261,10,0.008278145695364239,1208
TOP3B,null,0.23728696039277214,0.16183783512172908,0.04720084863423653,5.027175723714829,0.6,0.14811188409989084,-1.094585657119751,19,0.015728476821192054,1208
HDAC6,null,0.20888669979768168,0.15295948360483624,0.04761742565025676,4.386770115039919,0.0,0.10860787945635923,-0.4046779274940491,0,0.0,1208
FRMPD4,null,0.25590033681107094,0.202881597587197,0.06026896360084234,4.245972081183994,0.0,0.10620334964298588,-0.4239252209663391,0,0.0,1208
ISCA2,null,0.6365528702622796,0.5580725290520427,0.07401906037771355,8.599850727826041,0.0,0.3178786165001939,-1.9219151735305786,881,0.7293046357615894,1208
ZNF536,null,0.2540330078774379,0.2121478413051713,0.06562625660154263,3.870905046738054,0.2,0.1705482585033188,-1.5907663106918335,23,0.01903973509933775,1208
PPP4R1,null,0.3053578680887092,0.1678604475362112,0.04668876808376101,6.540285396712294,0.0,0.15660975743910138,-0.7444342374801636,8,0.006622516556291391,1208
SPTA1,null,0.2494398025264994,0.2146592699822548,0.06612126429123104,3.7724596648340243,0.0,0.1083550377553023,-0.5051244497299194,1,0.0008278145695364238,1208
NAGA,null,0.17410074459218522,0.1340851682707225,0.03905410404332068,4.457937234946277,0.3333333333333333,0.11741801070168446,-0.6082387566566467,1,0.0008278145695364238,1208
NPW,null,0.21742452667838083,0.1912817507723605,0.0592968117566917,3.6667152961026486,0.06666666666666667,0.1275238916048415,-0.9730415344238281,11,0.009105960264900662,1208
IL9,null,0.26511088228948737,0.17103336029875685,0.053049956096752206,4.997381747234242,0.0,0.12162530122882484,-0.5232694149017334,1,0.0008278145695364238,1208
SLC2A6,null,0.3271819223115015,0.27301585791371513,0.08709921347703495,3.756427977363631,0.06666666666666667,0.1858466719709687,-0.7481991648674011,19,0.015728476821192054,1208
NKX6-1,null,0.37087800291257583,0.23435114988131517,0.072931843839197,5.085268428566022,0.0,0.11355456714280325,-0.4318609833717346,0,0.0,1208
BHMT,null,0.24731679449549993,0.21608706343653378,0.0662320986999061,3.734092673343757,0.0,0.10205084797153813,-0.4781046509742737,0,0.0,1208
ANTXRL,null,0.29933697832533224,0.2281018738061348,0.06779543426348021,4.415297011919547,0.13333333333333333,0.1433768570359112,-0.8128964900970459,31,0.02566225165562914,1208
ARPP19,null,0.3407168326529563,0.21639829836420882,0.0679217759489109,5.016312189911454,0.0,0.18506670315776114,-2.203582286834717,130,0.1076158940397351,1208
XRN2,null,0.3787692950149558,0.30461206498228754,0.05771109845776467,6.563196770412447,0.0,0.3636509097384276,-2.645749568939209,1194,0.9884105960264901,1208
SEMA3D,null,0.26666869493280315,0.20594528934122547,0.06342250233020355,4.204638497932746,0.06666666666666667,0.13258336058143044,-0.5633719563484192,1,0.0008278145695364238,1208
DNAAF2,null,0.24630199175871065,0.22021622865709456,0.06833492623272663,3.6043353719280504,0.06666666666666667,0.1419045733561889,-0.6755737662315369,5,0.0041390728476821195,1208
PEX11B,null,0.2501011148139949,0.1858726088552148,0.05247419147564975,4.766173766203761,0.4,0.16163790564146352,-1.1168214082717896,76,0.06291390728476821,1208
RAD54L,null,0.3049709483717319,0.24458196884021624,0.07470872978080938,4.08213269408404,0.06666666666666667,0.1714781311735377,-1.0621447563171387,59,0.048841059602649006,1208
