query,complex,kind,profile_sd,min_effect,n_dep_lines,frac_dep_lines,n_lines,top1_r,r_rank15,background_r_sd,top1_over_sd,n_expected_in_top15,prox_frac_top15
SMARCA4,SWI/SNF (BAF) remodeller,panel,0.3525054111259058,-2.222473382949829,384,0.31788079470198677,1208,0.3035,0.1949,0.0483,6.29,6,0.067
ARID1B,SWI/SNF (BAF) remodeller,panel,0.2100082435594665,-1.8252995014190674,50,0.041390728476821195,1208,0.2701,0.1665,0.0457,5.91,6,0.0
RAD21,cohesin,panel,0.3528542472392709,-2.843855142593384,1202,0.9950331125827815,1208,0.2978,0.24,0.0743,4.01,2,0.0
SMC2,condensin,panel,0.3375681028425534,-2.735921859741211,1206,0.9983443708609272,1208,0.2591,0.16,0.0507,5.11,5,0.0
MRPL11,mitochondrial ribosome / translation,panel,0.20749433164108047,-1.1291505098342896,58,0.048013245033112585,1208,0.5878,0.5242,0.0907,6.48,7,0.0
BMS1,90S pre-ribosome / rRNA processing,panel,0.2772679725605067,-2.2242271900177,1202,0.9950331125827815,1208,0.2773,0.2073,0.0434,6.39,6,0.0
VPS4A,ESCRT-III disassembly (paralog-buffered pair),panel,0.3794801106555976,-3.248112440109253,311,0.2574503311258278,1208,0.2693,0.1642,0.0453,5.95,3,0.0
CTNNB1,WNT / beta-catenin transcription,panel,0.40236091292659026,-3.0051894187927246,149,0.12334437086092716,1208,0.6984,0.246,0.0512,13.65,2,0.0
SOX10,melanocyte lineage transcription,panel,0.44437637691994575,-3.7133724689483643,202,0.1672185430463576,1208,0.572,0.2758,0.0526,10.88,6,
OR5A1,olfactory receptor (negative control),panel,0.1276717241015053,-0.6092526316642761,10,0.009174311926605505,1090,0.3445,0.2094,0.0684,5.04,0,0.467
