Term,Correlation,F-stat,p-val,FDR
~ 60s,-0.1038038193018232,201.5676229274255,1.6472579985382104e-45,4.0903063361702305e-41
~ dispersed,-0.0892489574637754,148.58280843389053,4.778658353872588e-34,5.932943279250512e-30
~ nBAF,-0.0853946190250024,135.93418375811137,2.6538485662006495e-31,2.041228026815204e-27
group v,0.0852608418778157,135.50549865736704,3.288193027772066e-31,2.041228026815204e-27
variable charge x linked,-0.0840562637963289,131.67660893894364,2.2311077971842773e-30,9.23343961864713e-27
sex ratio,-0.0840562637963289,131.67660893894367,2.2311077971842773e-30,9.23343961864713e-27
~ nucleolus,-0.0819561688422832,125.13514532456458,5.888641401078589e-29,2.088869351859749e-25
dozens,-0.0804734220455718,120.61898058862046,5.649670869873699e-28,1.7535872171229227e-24
~ VCX,-0.0791271617857434,116.59179235825792,4.2477033608314085e-27,1.1719413572533856e-23
variably,-0.0769658534626796,110.27208021800584,1.0090772553671184e-25,2.505639732802092e-22
~ urinary tract anomalies,-0.0740683832907777,102.08077854058445,6.149766407612681e-24,1.38822590606755e-20
~ p12,-0.0733426746938012,100.07947476726416,1.6798491708034694e-23,3.476027896685079e-20
~ GTF2IRD2,0.0723686817088093,97.425106145421,6.372252418533112e-23,1.1700888221787697e-19
~ DUF1220,-0.0723431759111371,97.35608352273796,6.597093758005225e-23,1.1700888221787697e-19
general transcription factor II i,0.0716149840257806,95.39596119698014,1.7663997202158534e-22,2.9240980968453237e-19
~ breakpoint,-0.071016620352092,93.80045306446485,3.9387402264779026e-22,6.112678660229551e-19
~ gene copy number,-0.069800291865413,90.59926109234787,1.9696474138923676e-21,2.876959702021258e-18
~ ribosomal,-0.069660196019918,90.23417173114716,2.366656938444751e-21,3.2648032465845344e-18
structural constituent of ribosome,-0.0681284394701845,86.29118549687233,1.7207877948830976e-20,2.2488885123548526e-17
~ FAM90A,-0.0676625103853236,85.10952406822874,3.1192716441816805e-20,3.8727317098337645e-17
~ pseudogene,-0.0664212880886803,82.00190286869088,1.491727136542707e-19,1.763860787023426e-16
~ approximately,-0.0661579415930841,81.35009829707587,2.0715253711347714e-19,2.3380930223021595e-16
